title,price,location,date,url,image_url
Car body cover available in wholesale market price,₹ 500,"Periyamet, Chennai",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782,https://apollo.olx.in:443/v1/files/56xwmkr0uq3q2-IN/image;s=150x0;q=50;f=webp;
One BHK semi furnished flat with covered car parking,"₹ 7,500","IDPL Colony, Rishikesh",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549,https://apollo.olx.in:443/v1/files/dgmi1co2pjj21-IN/image;s=150x0;q=50;f=webp;
2bhk near ponda kendriya vidyalaya for rent with covered car parking,"₹ 17,500","Sindhu Nagar, Ponda",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-sindhu-nagar-ponda-iid-1816507443,https://apollo.olx.in:443/v1/files/gvjnxrxa7oyf3-IN/image;s=150x0;q=50;f=webp;
Maruti Suzuki fronx car cover,"₹ 1,050","Gulzar Nagar, Bareilly",N/A,https://www.olx.in/item/mobile-phones-c1453-used-other-mobiles-in-gulzar-nagar-bareilly-iid-1817986471,https://apollo.olx.in:443/v1/files/jlgiz5nekygj1-IN/image;s=150x0;q=50;f=webp;
2bhk & Covered Car Parking-SALE,"₹ 53,00,000","Chikhali, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-1000-sq-ft-in-chikhali-pune-iid-1816950892,https://apollo.olx.in:443/v1/files/fp7lrlf8pgrc2-IN/image;s=150x0;q=50;f=webp;
Maruti Suzuki fronx car cover,"₹ 1,050","Gulzar Nagar, Bareilly",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-gulzar-nagar-bareilly-iid-1817978433,https://apollo.olx.in:443/v1/files/ytb12cbos9ag1-IN/image;s=150x0;q=50;f=webp;
"Villas for sale at kovilancheri .Specious design ,covered car parking!","₹ 85,00,000","Kovilancheri, Chennai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-houses-villas-1485-sq-ft-in-kovilancheri-chennai-iid-1817541513,https://apollo.olx.in:443/v1/files/9kmqob7eoxjb-IN/image;s=150x0;q=50;f=webp;
Baleno Car Body Cover,"₹ 1,200","Kanakpura, Jaipur",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-kanakpura-jaipur-iid-1817977216,https://apollo.olx.in:443/v1/files/ealft9qkccin-IN/image;s=150x0;q=50;f=webp;
3BHK SUPER SPACIOUS VERY BIG FLAT FOR SALE WITH 2 COVERED CAR PARKING,"₹ 1,99,00,000","Mira Road, Mumbai",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1800-sq-ft-in-mira-road-mumbai-iid-1808973820,https://apollo.olx.in:443/v1/files/4079v2t0vbl7-IN/image;s=150x0;q=50;f=webp;
"4BHK,5 Washroom, North Facing ,2 car Covered parking, AdequatSun light","₹ 85,00,000","Bill Road, Vadodara",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-4-bhk-apartments-1916-sq-ft-in-bill-road-vadodara-iid-1816477033,https://apollo.olx.in:443/v1/files/9yxztupvbfq92-IN/image;s=150x0;q=50;f=webp;
Hyundai Exter Car Cover,₹ 500,"Bagalakunte, Bengaluru",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-bagalakunte-bengaluru-iid-1817951090,https://apollo.olx.in:443/v1/files/j7bb4sh0tlnm2-IN/image;s=150x0;q=50;f=webp;
Ahmed car Matings and seat cover whole sale Distributor,N/A,"Farooqnagar, Hyderabad",N/A,https://www.olx.in/item/other-services-c625-ahmed-car-matings-and-seat-cover-whole-sale-distributor-in-farooqnagar-hyderabad-iid-1625487590,https://apollo.olx.in:443/v1/files/s93jm6qmzh2j1-IN/image;s=150x0;q=50;f=webp;
75 Gaj home with covered car parking,"₹ 33,00,020","Jawahar Colony, Faridabad",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-703-sq-ft-in-jawahar-colony-faridabad-iid-1817077364,https://apollo.olx.in:443/v1/files/mu698lvs3qwx1-IN/image;s=150x0;q=50;f=webp;
"1.5 KM-KINFRA, 5 KM-Techno Park, CC TV, Covered Ample Car& 2W Parking.","₹ 13,500","Chanthavila, Thiruvananthapuram",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-chanthavila-thiruvananthapuram-iid-1816396942,https://apollo.olx.in:443/v1/files/9n23q6swvtfa1-IN/image;s=150x0;q=50;f=webp;
Car seat cover i 10 balino alto all car seat covers,N/A,"Garhwali Colony, Dehradun",N/A,https://www.olx.in/item/other-services-c625-car-seat-cover-i-10-balino-alto-all-car-seat-covers-in-garhwali-colony-dehradun-iid-1817943331,https://apollo.olx.in:443/v1/files/c4s5d8scvrm51-IN/image;s=150x0;q=50;f=webp;
Personal covered car parking,"₹ 95,00,000","Ace Divino, Greater Noida",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-2424-sq-ft-in-ace-divino-greater-noida-iid-1792721639,https://apollo.olx.in:443/v1/files/r8awo7f2up8p2-IN/image;s=150x0;q=50;f=webp;
A 5000 SQFT COMMERCIAL OFFICE SPACE WITH COVERED CAR PARK FOR RENT,"₹ 3,00,000","Viman Nagar, Pune",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-5000-sq-ft-in-viman-nagar-pune-iid-1805302317,https://apollo.olx.in:443/v1/files/sw309qx4h1ll1-ADVIN/image;s=150x0;q=50;f=webp;
A 1350 SQFT FURNISHED 2BHK FLAT WITH COVERED CAR PARK AVAIL FOR RENT,"₹ 75,000","Viman Nagar, Pune",N/A,https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1350-sq-ft-in-viman-nagar-pune-iid-1805288003,https://apollo.olx.in:443/v1/files/fccc9d326bb12-ADVIN/image;s=150x0;q=50;f=webp;
A 800 SQFT FURNISHED 1BHK FLAT  COVERED CAR PARK AVAILABLE FOR RENT,"₹ 40,000","Viman Nagar, Pune",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-800-sq-ft-in-viman-nagar-pune-iid-1804964379,https://apollo.olx.in:443/v1/files/5igna6spgqtt-ADVIN/image;s=150x0;q=50;f=webp;
Car Cover Brezza,₹ 400,"Badkhal, Faridabad",N/A,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-badkhal-faridabad-iid-1817923398,https://apollo.olx.in:443/v1/files/2s220qgb41iv1-IN/image;s=150x0;q=50;f=webp;
"2BHK 896Sq. ft. flat  with covered car parking,  for sale in Eden Lake","₹ 36,00,000","Tollygunge, Kolkata",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-896-sq-ft-in-tollygunge-kolkata-iid-1811282616,https://apollo.olx.in:443/v1/files/n7azqbryng2d3-IN/image;s=150x0;q=50;f=webp;
Car seat cover,"₹ 6,000","Laal Ganesh, Guwahati",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938,https://apollo.olx.in:443/v1/files/447bxx71ar4j-IN/image;s=150x0;q=50;f=webp;
2bhk flat for Sale with covered car parking,"₹ 47,00,000","Pisoli, Pune",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623,https://apollo.olx.in:443/v1/files/rfbur9murtej3-IN/image;s=150x0;q=50;f=webp;
Punch car cover,N/A,"Chenippadi, Kumaranellur",N/A,https://www.olx.in/item/other-services-c625-punch-car-cover-in-chenippadi-kumaranellur-iid-1817922234,https://apollo.olx.in:443/v1/files/8ihh3htzo8nc-IN/image;s=150x0;q=50;f=webp;
"Waterproof,Dust proof car cover","₹ 1,500","Kamala Nagar, Anantapur",N/A,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kamala-nagar-anantapur-iid-1817919279,https://apollo.olx.in:443/v1/files/tex6i2tbz02h-IN/image;s=150x0;q=50;f=webp;
Jack and car cover,N/A,"Venkateshwara Colony, Hyderabad",N/A,https://www.olx.in/item/other-services-c625-jack-and-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675,https://apollo.olx.in:443/v1/files/t8mtl00c8h7m2-IN/image;w=shot-on-olx;s=150x0;q=50;f=webp;
For rent or Sale 2 BHK with Covered Car parking,"₹ 59,00,000","Padur, Kovalam",N/A,https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-727-sq-ft-in-padur-kovalam-iid-1811296083,https://apollo.olx.in:443/v1/files/q1t04677z5lx-IN/image;s=150x0;q=50;f=webp;
"IT back end office, kakkanad, covered car n bike parking,lift, D G","₹ 25,000","Padivattom, Kochi",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1801141258,https://apollo.olx.in:443/v1/files/vn5476wshdtl-IN/image;s=150x0;q=50;f=webp;
"IT, Media office, covered car n bike parking, Kakkanad Kochi","₹ 25,000","Chembumukku, Kochi",N/A,https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-chembumukku-kochi-iid-1817413699,https://apollo.olx.in:443/v1/files/cne5ly5flbw5-IN/image;s=150x0;q=50;f=webp;
